NAME,CLASS,SAMPLE,IS,chemsc,C,db,MASS,ERROR,ISpmol,INT:C059.mzML,INT:C079.mzML,INT:C080.mzML,INT:C081.mzML,INT:C083.mzML,INT:C084.mzML,INT:C103.mzML,INT:C105.mzML,INT:C123.mzML,INT:C135.mzML,INT:C137.mzML,INT:C141.mzML,INT:C145.mzML,INT:C149.mzML,INT:C155.mzML,INT:C176.mzML
,,,,,,,,,,,,,,,,,,,,,,,,,
###,Car,,,,,,,,,,,,,,,,,,,,,,,,
Car(14:1),CARN,1,0,H40 C21 O4 N1 ,14,1,370.2949,-0.82 ppm,46,0,0,0,0,0,0,8981,16582.8,2463.4,9646.4,3936.4,1315.8,2519.9,2327.2,3303,5789.2
Car(14:0),CARN,1,0,H42 C21 O4 N1 ,14,0,372.3105,-0.89 ppm,46,0,0,0,0,0,0,11790.2,24969.5,5151.9,12842.1,7290.6,2796.7,5806.9,5502.8,11020.3,6835
Car(16:1),CARN,1,0,H44 C23 O4 N1 ,16,1,398.3262,-0.76 ppm,46,0,0,0,0,0,0,5064.3,15007.5,2152,8500,3326,1240.3,3184.6,2669.7,2232.6,4138.3
Car(16:0),CARN,1,0,H46 C23 O4 N1 ,16,0,400.343,2.19 ppm,46,0,0,0,0,0,0,10541.4,58892.2,13324.6,38355.2,15711.3,5976,31343.3,10475.3,13451.7,13549
Car(18:1),CARN,1,0,H48 C25 O4 N1 ,18,1,426.358,0.54 ppm,46,0,0,0,0,0,0,5243.7,13724.7,2978,16905.3,5028.7,2832.7,5767,6138.4,2914.5,7878
Car(18:0),CARN,1,0,H50 C25 O4 N1 ,18,0,428.3739,1.13 ppm,46,0,0,0,0,0,0,3454,6777.8,3612.2,8817.9,3908.4,3363.4,4291.7,7819.4,4341.9,4538.5
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
###,CarIS,,,,,,,,,,,,,,,,,,,,,,,,
Car(15:0),CARN,0,1,H44 C22 O4 N1 ,15,0,386.3262,-0.84 ppm,46,0,0,0,0,0,0,2043203.5,2490229.5,2931512.5,2536408,2387327.4,1686915.4,2477245.3,2899290,2155713.7,2527348.5
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
###,CarOH,,,,,,,,,,,,,,,,,,,,,,,,
Car-OH(14:1),CarOH,1,0,H40 C21 O5 N1 ,14,1,386.2899,-0.48 ppm,46,0,0,0,0,0,0,2043203.5,2490229.5,2931512.5,2536408,2387327.4,1686915.4,2477245.3,2899290,2155713.7,2527348.5
Car-OH(14:0),CarOH,1,0,H42 C21 O5 N1 ,14,0,388.3052,-1.29 ppm,46,0,0,0,0,0,0,44382.1,59458.1,66730.2,60550,57548.6,42096.1,53732.9,64534.6,47646.9,52092.2
Car-OH(16:1),CarOH,1,0,H44 C23 O5 N1 ,16,1,414.3218,0.89 ppm,46,0,0,0,0,0,0,8354.2,7497.2,12031.3,9903.2,5851.9,5851.1,7016.2,7083.7,6022,6353.1
Car-OH(16:0),CarOH,1,0,H46 C23 O5 N1 ,16,0,416.3372,0.45 ppm,46,0,0,0,0,0,0,2566.9,5149.4,2047.8,4586.4,1903.9,1718.2,1450.8,2175.1,1081.7,1543.2
Car-OH(18:1),CarOH,1,0,H48 C25 O5 N1 ,18,1,442.3527,0.11 ppm,46,0,0,0,0,0,0,1631.4,2773.1,1294.3,3090.6,1356,915.4,1065.5,1495.4,0,1158.3
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
###,CarOHIS,,,,,,,,,,,,,,,,,,,,,,,,
Car(15:0) b,CarOH,0,1,H44 C22 O4 N1 ,15,0,386.3262,-0.84 ppm,46,0,0,0,0,0,0,2043203.5,2490229.5,2931512.5,2536408,2387327.4,1686915.4,2477245.3,2899290,2155713.7,2527348.5
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
###,CE,,,,,,,,,,,,,,,,,,,,,,,,
CE(14:0),CHES,1,0,H76 C41 O2 N1 ,14,0,614.5868,-0.47 ppm,111.6,3482.9,5405.7,3224.8,3223.1,5122.3,5735.6,12302.9,23601.1,6485.8,14551.5,69071.7,14650.6,25839.1,10907.2,17771,9238.9
CE(16:2),CHES,1,0,H76 C43 O2 N1 ,16,2,638.5871,0.06 ppm,111.6,1484.5,1965.3,0,0,1306.7,1355.4,2126.9,4311.5,1226.6,1325,11574.6,3001.8,3731.2,2417,4444.5,2231.6
CE(16:1),CHES,1,0,H78 C43 O2 N1 ,16,1,640.6029,0.36 ppm,111.6,37914.8,61038.2,24052.7,30729.8,47575.5,77292.9,62075.6,229237.3,27220.4,105033.6,442100.2,73326.7,133971.1,51790,106263,103030.4
CE(16:0),CHES,1,0,H80 C43 O2 N1 ,16,0,642.6184,0.14 ppm,111.6,40948.3,86151.4,27509.2,1560334.1,60952.3,69716,97584.8,369087.5,37803.2,169222.9,727968.3,90248.8,255521,90381.9,174262.6,142101
CE(18:3),CHES,1,0,H78 C45 O2 N1 ,18,3,664.602,-1.01 ppm,111.6,7475.3,12270.2,4817.3,3259.2,11647.1,10585.5,10223.3,12241.9,4409,15846.2,82857.2,7931.7,22633.4,9461,14979.6,13473
CE(18:2),CHES,1,0,H80 C45 O2 N1 ,18,2,666.6181,-0.46 ppm,111.6,52211.5,99338.8,42048,34804.3,99512,98842.2,88811.6,191723.6,43051.7,186654.6,720152.8,101974.3,236647.9,116769,153555.1,136597.8
CE(18:1),CHES,1,0,H82 C45 O2 N1 ,18,1,668.6338,-0.38 ppm,111.6,161824.8,267185,105359,164901,259533.6,356149.8,238967.1,1497166.6,120531.1,811245.1,1758113.8,248652.4,671958.6,224559.9,435726,530888
CE(18:0),CHES,1,0,H84 C45 O2 N1 ,18,0,670.65,0.53 ppm,111.6,10011.5,19732.1,7498.2,8731.4,14684.5,17440.4,22067.6,89058.3,8416.2,52988.1,172110.8,21402.5,65886.2,20962.4,47674.4,30077.8
CE(20:4),CHES,1,0,H80 C47 O2 N1 ,20,4,690.6169,-2.18 ppm,111.6,60829.9,99688,55835.9,54748.8,176588.8,141685.6,59924.7,411413.9,97487,162371.6,638114,62329.5,212519.1,59485.3,163119,149480.2
CE(20:3),CHES,1,0,H82 C47 O2 N1 ,20,3,692.633,-1.43 ppm,111.6,18915.3,25063.3,17490.3,24729.2,51363.8,55971.5,14742.2,215606.3,51132.8,94473.7,158255.2,14857.4,73806.3,13468.1,48181.5,74849.8
CE(20:2),CHES,1,0,H84 C47 O2 N1 ,20,2,694.6489,-1.06 ppm,111.6,4262.2,5270.3,3314.6,6173.4,10876.7,11127.8,3871.7,60024.1,9126.6,35725.1,23170,4250.5,10566.7,2561.3,8438.7,18279.2
CE(20:1),CHES,1,0,H86 C47 O2 N1 ,20,1,696.6638,-2.21 ppm,111.6,6193.4,9594.4,5489.4,7020.1,8631.7,10501.1,7347.3,63589.8,9384.8,45824.6,38168.4,10164,13252.1,8605.1,12141.2,16281
CE(20:0),CHES,1,0,H88 C47 O2 N1 ,20,0,698.6801,-1.23 ppm,111.6,2048,7216.5,2955,3264.1,3537.1,4604,5134.1,8808.2,2590.7,9554.6,17118,4384.6,6967.2,4009.4,5088.6,3432.6
CE(22:2),CHES,1,0,H88 C49 O2 N1 ,22,2,722.6792,-2.49 ppm,111.6,1734.1,3775.1,1519.3,0,5455.8,1899.5,2203,10771.1,2665.4,5318,8842.1,2155.9,3450.2,1303.1,2085.6,2679.4
CE(22:1),CHES,1,0,H90 C49 O2 N1 ,22,1,724.6959,-1.03 ppm,111.6,2205.1,1813.9,2183.3,3674.9,5178.8,7079.8,2378.6,22954.5,3656.3,12409.1,7444,3486.4,4247.2,1424.2,4005.8,7615.1
CE(22:0),CHES,1,0,H92 C49 O2 N1 ,22,0,726.7125,0.38 ppm,111.6,0,1245.6,0,4959.5,3428,2777.1,2153.2,7344.8,3747.4,6567.7,8611.3,4815.2,5428.4,2922.1,5686.9,6822.4
CE(24:1),CHES,1,0,H94 C51 O2 N1 ,24,1,752.7271,-1.03 ppm,111.6,2636.3,1584.7,3133.6,4996.4,4923.8,7746,2554.8,53098,6403,16774.5,9592.8,4897.3,6919.9,3458.6,6039.4,13562
CE(24:0),CHES,1,0,H96 C51 O2 N1 ,24,0,754.7435,-0.05 ppm,111.6,1327.8,2670.1,1324.1,2394.4,1270.4,2787.5,1363.7,9788.2,4141.8,7167.1,10229.7,5037.2,5794.7,3528.2,5025.7,3875.7
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
###,CEIS,,,,,,,,,,,,,,,,,,,,,,,,
CE(17:1),CHES,0,1,H80 C44 O2 N1 ,17,1,654.6188,0.62 ppm,111.6,250101,353031.5,328772.6,407443.2,243978.2,320113.9,779278.1,996635.6,1452203.1,1237946.4,1607094.1,1349853.7,1598662,1524180.2,1182471.4,1097669.5
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
###,Cer,,,,,,,,,,,,,,,,,,,,,,,,
Cer(d18:1/12:0),CERA,1,0,H60 C30 O3 N1 ,12,0,482.4569,0.20 ppm,32.2,15556.9,15422.9,15609.5,16879.5,12449.3,13150.2,17198.3,19678.2,22374.9,20574.7,25858.8,20886.5,21136.1,20087.5,23802.9,15706.5
Cer(d18:1/14:0),CERA,1,0,H64 C32 O3 N1 ,14,0,510.4883,0.55 ppm,32.2,782.2,0,906.5,877.3,830.4,750.2,1963.6,1434.3,2465.2,1488.7,1200.5,0,1528.6,1917.7,2146.4,1669.7
Cer(d18:1/16:0),CERA,1,0,H68 C34 O3 N1 ,16,0,538.5197,0.58 ppm,32.2,30180.1,57103.6,64601.7,47708.6,75301.1,38865.1,68467.1,98356.6,108482.9,106530.9,55254.4,49514.2,65101.4,103322.7,90835.6,84620.7
Cer(d18:1/18:1),CERA,1,0,H70 C36 O3 N1 ,18,1,564.5348,-0.39 ppm,32.2,1143.3,1718.4,1400.8,1579.6,0,0,0,1142,2021.1,3784.7,1150.1,1533.2,1480,2911.1,2168.2,1651.4
Cer(d18:1/18:0),CERA,1,0,H72 C36 O3 N1 ,18,0,566.5507,-0.01 ppm,32.2,1724.3,3144.3,2680.6,2929.5,1434.7,1072.6,1914.5,3374.9,3084.1,5652.7,3084.9,3319.8,2855.2,3865,3821.1,4173.1
Cer(d18:1/20:0),CERA,1,0,H76 C38 O3 N1 ,20,0,594.5813,-1.09 ppm,32.2,0,0,1184.7,1160.4,0,0,1362.3,1615.5,2534.6,1772,1209.4,1447.8,1824.1,2166.2,1785.8,1464.6
Cer(d18:1/22:0),CERA,1,0,H80 C40 O3 N1 ,22,0,622.6133,0.01 ppm,32.2,4475.5,7995.9,10308.4,13517.1,8609.5,5042.2,11067.4,13706,18524.9,16057.1,9246.5,10563.6,10734.9,19506.2,12434.5,13082.7
Cer(d18:1/24:2),CERA,1,0,H80 C42 O3 N1 ,24,2,646.6134,0.20 ppm,32.2,22745.4,26708.8,27777.7,30817.8,25099.6,22284.6,38897.7,40920,49328.7,44378.2,46172.1,47826.2,47395,50936.4,47801.9,36599.2
Cer(d18:1/24:1),CERA,1,0,H82 C42 O3 N1 ,24,1,648.6287,-0.36 ppm,32.2,27695.9,46922,38529.8,61946.3,59130.5,29084.9,43434.9,99207.4,87117.8,82444,68085.9,60780.3,37469.8,114286.5,87044.4,90046.3
Cer(d18:1/24:0),CERA,1,0,H84 C42 O3 N1 ,24,0,650.6448,0.41 ppm,32.2,31949.6,47787.7,50451.4,81550.8,51144.8,30673.4,43816.8,63007.8,131248.1,87136,77897.2,70957.3,70390.1,166490.6,66736.3,85563.4
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
###,CerIS,,,,,,,,,,,,,,,,,,,,,,,,
Cer(d18:1/17:0),CERA,0,1,H70 C35 O3 N1 ,17,0,552.5357,1.21 ppm,32.2,476945,530232.7,482047.4,589318.6,386563.1,397177.4,690326.2,761366.9,949451.2,946663.6,908744.7,809667.8,985108.3,906907.1,850775.8,768277.5
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
###,DAG,,,,,,,,,,,,,,,,,,,,,,,,
DAG(28:0),DACG,1,0,H64 C31 O5 N1 ,28,0,530.4781,0.36 ppm,64.3,9676.2,5331.9,5003.5,4697.5,3300.8,8301.9,15295.7,11591.6,6285.6,10288.3,9937.2,9236.9,9788.2,8450.7,6033.8,7021.3
DAG(30:1),DACG,1,0,H66 C33 O5 N1 ,30,1,556.4931,-0.79 ppm,64.3,5530.8,2765.7,3242.6,3979.4,1854,3703.1,6210.8,4688.3,4891.8,2641.1,3281.4,6443.8,4960.3,3631.4,2616,1676.9
DAG(30:0),DACG,1,0,H68 C33 O5 N1 ,30,0,558.509,-0.35 ppm,64.3,34699.5,11458.9,12480.7,15237.5,10689.5,30225.6,37341.5,19133.5,19178.5,24984.9,24030.6,19952.3,19458.4,14299.5,9213.6,11164.5
DAG(32:2),DACG,1,0,H68 C35 O5 N1 ,32,2,582.5092,0.05 ppm,64.3,3843.7,1952.6,2695.1,2169.3,2604.7,4887.4,5588.8,4227.6,4021.5,4584.5,4051.4,6251.2,3503.7,2259.3,2570.4,1130.5
DAG(32:1),DACG,1,0,H70 C35 O5 N1 ,32,1,584.5248,-0.08 ppm,64.3,11424.1,10883.7,9960,16793,9085.5,13344.7,24033,23826.6,19347.2,20883.4,13394.4,38678.3,15810.5,12906.4,10981.9,10919.8
DAG(32:0),DACG,1,0,H72 C35 O5 N1 ,32,0,586.5405,-0.05 ppm,64.3,305591.2,38695.3,28745.2,41416.6,26423.7,339412.6,382215.9,132837,107069.7,183158.6,213357.9,96360.3,128103.8,68855.6,52110,104667.3
DAG(34:2),DACG,1,0,H72 C37 O5 N1 ,34,2,610.5408,0.49 ppm,64.3,8931.6,7378.7,7465.5,13450.2,8461.5,9009.1,12696.7,14743.1,11626.1,15990.4,11491.5,13557.2,9552.7,13780.4,16256,8256.7
DAG(34:1),DACG,1,0,H74 C37 O5 N1 ,34,1,612.5563,0.31 ppm,64.3,23531.3,20102.1,16819.9,40071.5,20459.7,20163.7,46408,47132.5,24839.9,45903,22864.4,39766,28127,25728.5,27510.4,16275.3
DAG(34:0),DACG,1,0,H76 C37 O5 N1 ,34,0,614.5721,0.54 ppm,64.3,495755.3,41792.6,28644.7,66727.2,25758.2,756432.6,774322.4,242361.5,180545.7,270318.8,380505.9,131702,178200.8,111297.9,60854.9,198866.5
DAG(36:4),DACG,1,0,H72 C39 O5 N1 ,36,4,634.5406,0.22 ppm,64.3,1784.2,0,1075.4,1258.3,1042.7,1700.9,1709.3,2549.6,1966,1948.9,2519,1464,1048.4,3217.7,11598.6,2426
DAG(36:3),DACG,1,0,H74 C39 O5 N1 ,36,3,636.5559,-0.36 ppm,64.3,4217.6,1880,2614.1,3433.3,2954.4,3101.2,3674.2,6036.9,4668.6,5831.9,2931.6,5440.8,2368.6,4426.2,19771.3,4079
DAG(36:2),DACG,1,0,H76 C39 O5 N1 ,36,2,638.5719,0.19 ppm,64.3,11063.1,7149,5667.5,17312.2,8882.1,8260.4,9746.8,17971.4,10183.2,14570.6,10173.9,18695.7,8799.8,41310.5,18709.6,10122.9
DAG(36:1),DACG,1,0,H78 C39 O5 N1 ,36,1,640.5879,0.65 ppm,64.3,10190.8,5081,5496.9,12575.3,7493.8,10280.5,12335.9,13343.9,5676.5,13023.8,7278,11919.9,10315.8,9136.6,7519.3,6634.9
DAG(36:0),DACG,1,0,H80 C39 O5 N1 ,36,0,642.6035,0.56 ppm,64.3,265440.8,20024.3,14375.5,52357.3,17071.7,435750.9,496457.1,147854,95554.8,135185.2,214718.8,66411.8,113023.2,64366.7,39476,129753.2
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
###,DAGIS,,,,,,,,,,,,,,,,,,,,,,,,
DAG-IS(31:1),DACG,0,1,H68 C34 O5 N1 ,31,1,570.5098,1.09 ppm,64.3,526022.5,640651.7,691703.3,784398.2,516612.9,533265.4,754573.9,1143552.2,1445576.7,1434441.9,1566849.5,1295282.8,1392331.5,1333812.5,1299625.4,960829.8
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
###,DiHexCer,,,,,,,,,,,,,,,,,,,,,,,,
DiHexCer(d18:1/16:0),LACC,1,0,H88 C46 O13 N1 ,16,0,862.6231,-2.17 ppm,55.2,3329.4,10001.1,9665.8,4971.2,5355.2,10115.3,8886.8,9122.3,14685.6,22674.6,10328.4,15022.2,18736.2,22278.9,17238.1,31041
DiHexCer(d18:1/24:1),LACC,1,0,H102 C54 O13 N1 ,24,1,972.7349,0.29 ppm,55.2,3659.4,10742.6,7996.5,7485,3903.8,13269.6,8844.2,11312.9,24024.7,37217.1,12044.8,16905.1,14760.3,30949.6,16383.1,35282.6
DiHexCer(d18:1/24:0),LACC,1,0,H104 C54 O13 N1 ,24,0,974.751,0.77 ppm,55.2,3318.5,8402.5,8595,8942.6,4483.5,10094,8886.4,6995.2,23967.8,35455.5,10799.4,14508.9,20837.9,34995,13228,27055.5
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
###,DiHexCerIS,,,,,,,,,,,,,,,,,,,,,,,,
HexCer(d18:1/12:0) b,LACC,0,1,H70 C36 O8 N1 ,12,0,644.51,0.66 ppm,55.2,594663.6,703291.6,731974.9,784093.3,586460.4,546273.1,915868.3,1075647.9,1208610.7,1199692.3,1365235.7,1260860.2,1220099.9,1303375.1,1093301.2,915034.7
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
###,HexCer,,,,,,,,,,,,,,,,,,,,,,,,
HexCer(d18:1/16:0),HEXC,1,0,H78 C40 O8 N1 ,16,0,700.5724,0.24 ppm,55.2,11468.6,38811.1,20926.2,20982,13392.7,24599.7,42873.8,30403.6,40182,100231.6,15880.7,23314.4,26697.9,28157.2,30244.8,27605.3
HexCer(d18:1/18:0),HEXC,1,0,H82 C42 O8 N1 ,18,0,728.602,-2.05 ppm,55.2,1160.9,5576.4,1696.7,1269.4,1152.5,1165.7,1738.9,3224.9,2146.2,3228.2,1793.2,1470.8,0,7813.9,3645.8,3787.1
HexCer(d18:1/22:0),HEXC,1,0,H90 C46 O8 N1 ,22,0,784.6642,-2.46 ppm,55.2,7253.3,36131.5,20754,21554.5,9352.6,9269.7,28803.5,18243,25435.2,54658.6,12759.2,17071.1,17251.4,16790.1,15950,17453.9
HexCer(d18:1/24:1),HEXC,1,0,H92 C48 O8 N1 ,24,1,810.6791,-3.29 ppm,55.2,21511.9,54065.7,29801.8,40937,15144,28100.6,61493.5,53628.3,56029.1,123733.6,30648.5,32636.9,22699.7,36391.1,40253.4,48468.7
HexCer(d18:1/24:0),HEXC,1,0,H94 C48 O8 N1 ,24,0,812.6961,-1.59 ppm,55.2,17664.4,64327.9,37351.6,52082.9,25654.7,34987.2,86369.2,39657.3,69019.2,120865.8,35026,40058.3,63005.7,55652.7,39827.4,47410.4
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
###,HexCerIS,,,,,,,,,,,,,,,,,,,,,,,,
HexCer(d18:1/12:0),HEXC,0,1,H70 C36 O8 N1 ,12,0,644.51,0.66 ppm,55.2,594663.6,703291.6,731974.9,784093.3,586460.4,546273.1,915868.3,1075647.9,1208610.7,1199692.3,1365235.7,1260860.2,1220099.9,1303375.1,1093301.2,915034.7
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
###,LPC,,,,,,,,,,,,,,,,,,,,,,,,
LPC(16:2),LPCH,1,0,H47 C24 N1 O7 P1 ,16,2,492.3076,-1.79 ppm,35,6887.8,3635.1,2464.4,3689.9,2304.8,2126.2,5764.1,4884.3,5142.6,8441.7,3856,6606.7,5879.2,7238.5,5243.3,20578.8
LPC(16:1),LPCH,1,0,H49 C24 N1 O7 P1 ,16,1,494.3243,0.42 ppm,35,19545.5,47797.3,19908.6,15230.7,31498.5,25657.4,28307.9,47407.7,16859.6,27940,33415,27626.1,48305.4,23490.5,33259.3,38817
LPC(16:0),LPCH,1,0,H51 C24 N1 O7 P1 ,16,0,496.3402,0.82 ppm,35,242718.1,1442717.4,219689.6,270701.6,559598.2,560068.3,282424.2,316597,237591.4,665129.2,348976.2,340218.8,507978.5,250089.5,320354.1,1474576.4
LPC(18:3),LPCH,1,0,H49 C26 N1 O7 P1 ,18,3,518.3227,-2.80 ppm,35,3946,4439.9,1848.8,2484.2,2635,1416.8,6264.9,5138.2,4429.8,2647.3,3334.4,2120.1,3507.5,3203.6,3915.7,16935.5
LPC(18:1),LPCH,1,0,H53 C26 N1 O7 P1 ,18,1,522.3527,-5.27 ppm,35,102764.9,223636.6,90917.7,92028.1,184651,112549.5,161365.5,176376.5,87708.3,136861.4,304374.6,188045,295463.9,104579.9,134917.6,100651.6
LPC(18:0),LPCH,1,0,H55 C26 N1 O7 P1 ,18,0,524.3718,1.35 ppm,35,89375.1,234481.7,81396.2,125492.4,165272,99370,141177.8,108471.6,135911.4,176304.6,261187.3,137565.5,216162,90061.3,105271.1,486526.8
LPC(20:6),LPCH,1,0,H47 C28 N1 O7 P1 ,20,6,540.3063,-3.95 ppm,35,1166.4,2327.8,0,0,0,0,3680.3,3131.3,3264.2,3471.6,1741.5,1505.4,2689.4,4352,5738.4,39283.6
LPC(20:5),LPCH,1,0,H49 C28 N1 O7 P1 ,20,5,542.3232,-1.75 ppm,35,5418.9,6224.7,5115.6,4912.6,6677.2,4393,9056,10671.9,3294.2,7967.3,13839.9,7318.8,12133.4,9444.1,7923.7,23130.5
LPC(20:4),LPCH,1,0,H51 C28 N1 O7 P1 ,20,4,544.3385,-2.24 ppm,35,47023.1,91548.2,93943.7,82579.9,102967.8,54044.5,96462.1,149367.6,70498.5,60858,108264.5,61914.5,122043.3,71056.3,45705.9,57584.8
LPC(20:3),LPCH,1,0,H53 C28 N1 O7 P1 ,20,3,546.353,-4.34 ppm,35,11723.9,21732.5,12814.4,11390.4,23072.5,13367.6,23283.1,20147.9,17998.6,18689.3,41118.5,21899.3,44154.4,19422.1,16326.5,28136.4
LPC(20:1),LPCH,1,0,H57 C28 N1 O7 P1 ,20,1,550.3865,-0.35 ppm,35,22191.7,26170.1,25020.9,26346.8,13722.4,9235.3,33722.2,50009.8,14114.8,25163.1,25523.8,15097.7,18570.2,15521.4,14267.3,41082.2
LPC(20:0),LPCH,1,0,H59 C28 N1 O7 P1 ,20,0,552.4022,-0.37 ppm,35,5084,6133.6,3053.3,3781,4378.8,1954,7581.4,7697,3979,8193,7880.5,3465,5175.4,5068.7,10895.7,41644.5
LPC(22:6),LPCH,1,0,H51 C30 N1 O7 P1 ,22,6,568.3406,1.55 ppm,35,13272,15226.7,12755.2,9883.7,31914,14608.5,24332.7,21812,4438.1,22541.6,61105.8,25315.7,63199.5,18031.2,28670.5,45444.9
LPC(22:5),LPCH,1,0,H53 C30 N1 O7 P1 ,22,5,570.3554,0.03 ppm,35,17464,22885.5,21207.9,17246.7,37035.8,18244.2,28679.5,26751,9978.2,28649.8,65066.7,24705.3,67432.7,23336.6,26271.9,34490.8
LPC(22:4),LPCH,1,0,H55 C30 N1 O7 P1 ,22,4,572.3692,-3.31 ppm,35,84164.3,94348.5,134009.3,155688.9,132233.2,52001.3,108509.9,171358.6,124120.4,106894.9,75001,58208,69520.2,91652.8,56925.6,106457.3
LPC(22:3),LPCH,1,0,H57 C30 N1 O7 P1 ,22,3,574.3837,-5.31 ppm,35,12636.4,12543,11513.2,12346.8,9474.8,6331.6,14625.4,15580.8,13879.9,11386.5,9769.8,7250.7,10082.1,13978.3,9813.5,30362.5
LPC(22:1),LPCH,1,0,H61 C30 N1 O7 P1 ,22,1,578.4175,-0.90 ppm,35,7066.8,14023.1,7992.7,8379.3,7061.2,5714.8,15136.3,17430.6,7732.4,8577.8,6300.3,4583.4,7031.2,10624.7,8265.8,24325.7
LPC(22:0),LPCH,1,0,H63 C30 N1 O7 P1 ,22,0,580.433,-1.20 ppm,35,11386.5,20945.5,6990.3,14004.1,11129.4,6617.6,25108,27686.7,9781.9,13335.9,10758.7,7967.7,11283.6,13232.1,11820.5,48786.7
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
###,LPCIS,,,,,,,,,,,,,,,,,,,,,,,,
LPC(17:1),LPCH,0,1,H51 C25 P1 O7 N1 ,17,1,508.3409,2.23 ppm,35,641125,779957.4,798291.1,967816.9,664500.4,648805.8,898014.6,1048180.1,1135345.1,1148737.1,1315640.3,1181621.3,1150478.3,1266295.7,1170403,1125285.8
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
###,LPCO,,,,,,,,,,,,,,,,,,,,,,,,
LPC-O(14:0),LPCO,1,0,H47 C22 N1 O6 P1 ,14,0,452.3131,-1.08 ppm,35,3390.9,2472.5,897.6,1041,0,0,8958.7,2881.8,3083.9,4114.4,1463.3,1571.6,2953.5,4538.6,4786.8,16940.8
LPC-O(16:1),LPCO,1,0,H49 C24 N1 O6 P1 ,16,1,478.3293,0.11 ppm,35,5707.5,4711.6,1136.9,1400.2,710.6,0,4177.7,2479.2,4537.9,7195.9,2992.1,3798.6,3446.2,9432.8,3634.7,19493.1
LPC-O(16:0),LPCO,1,0,H51 C24 N1 O6 P1 ,16,0,480.3449,0.10 ppm,35,37232.7,23121.5,13792.4,9012.4,6223.5,4999.1,15536.5,16502.2,20572,29009.9,7890.2,5647.3,11413.8,21398.4,10653.6,40050.5
LPC-O(18:1),LPCO,1,0,H53 C26 N1 O6 P1 ,18,1,506.3613,1.56 ppm,35,5110.2,3428.9,1815.1,2063.5,1283.5,871.4,4397.8,4816.3,5975.6,6394.1,3260.7,3264.9,3059.1,6890.5,5235.3,22283.5
LPC-O(18:0),LPCO,1,0,H55 C26 N1 O6 P1 ,18,0,508.3741,-4.07 ppm,35,641125,779957.4,798291.1,967816.9,664500.4,648805.8,898014.6,1048180.1,1135345.1,1148737.1,1315640.3,1181621.3,1150478.3,1266295.7,1170403,1125285.8
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
###,LPCOIS,,,,,,,,,,,,,,,,,,,,,,,,
